,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
306,Finland,2013,80.98,77.15,1.8,1.0,26.57,25.68,9.81,13.71,8.19,5438972,49892.22,High income
305,Finland,2014,81.18,72.75,1.7,0.8,26.56,25.68,9.78,13.59,8.66,5461512,50327.24,High income
313,Finland,2006,79.21,95.76,2.7,0.8,26.54,25.63,8.28,13.57,7.72,5266268,41222.6,High income
312,Finland,2007,79.26,96.27,2.6,0.7,26.56,25.65,8.08,13.65,6.85,5288720,48476.39,High income
311,Finland,2008,79.57,93.93,2.5,0.6,26.57,25.66,8.34,13.74,6.37,5313399,53772.79,High income
47,France,2000,79.06,100.2,2.8,2.6,25.48,24.51,9.58,13.5,10.22,60921384,22416.43,High income
46,France,2001,79.16,100.3,2.6,2.6,25.53,24.52,9.71,13.65,8.61,61367388,22449.34,High income
45,France,2002,79.26,99.04,2.6,2.4,25.59,24.53,10.02,13.86,8.7,61816234,24288.27,High income
44,France,2003,79.11,97.62,2.6,2.2,25.65,24.54,10.08,13.75,8.31,62256970,29627.92,High income
43,France,2004,80.16,92.27,2.5,2.2,25.7,24.54,10.16,13.94,8.91,62716306,33797.16,High income
41,France,2006,80.81,89.59,2.4,2.1,25.81,24.54,10.39,14.0,8.83,63628261,36470.21,High income
40,France,2007,81.11,87.63,2.2,2.0,25.86,24.53,10.32,13.95,8.01,64021737,41557.62,High income
39,France,2008,81.21,86.56,2.3,2.1,25.9,24.52,10.5,13.92,7.39,64379696,45515.96,High income
42,France,2005,80.16,91.83,2.3,2.2,25.76,24.54,10.21,13.91,8.88,63188395,34768.18,High income
37,France,2010,81.66,84.78,2.1,2.0,25.96,24.49,11.23,13.9,9.28,65030575,40676.06,High income
36,France,2011,82.11,82.76,2.2,1.9,25.99,24.46,11.18,13.95,9.23,65345233,43846.47,High income
35,France,2012,81.97,79.66,2.2,1.7,26.01,24.44,11.3,13.91,9.84,65662240,40870.85,High income
34,France,2013,82.22,76.88,2.3,1.8,26.02,24.41,11.4,14.01,9.91,66002289,42602.72,High income
33,France,2014,82.72,73.79,2.3,1.6,26.04,24.38,11.54,14.2,10.27,66312067,43068.55,High income
32,France,2015,82.32,74.41,2.4,1.7,26.06,24.34,11.45,14.58,10.35,66548272,36652.92,High income
38,France,2009,81.41,86.58,2.2,2.0,25.93,24.51,11.29,13.96,9.12,64710879,41737.76,High income
53,Germany,2010,79.99,76.32,2.3,1.7,27.21,25.78,11.1,17.45,6.97,81776930,41572.46,High income
48,Germany,2015,80.64,71.6,2.2,1.5,27.44,25.97,11.19,19.51,4.62,81686611,41103.26,High income
49,Germany,2014,81.09,70.49,2.1,1.8,27.4,25.94,11.03,19.17,4.98,80982500,48023.87,High income
50,Germany,2013,80.49,73.3,2.2,1.7,27.36,25.9,11.0,18.7,5.23,80645605,46298.92,High income
51,Germany,2012,80.54,71.97,2.3,1.8,27.31,25.86,10.85,18.23,5.38,80425823,43855.85,High income
52,Germany,2011,80.44,74.43,2.2,1.8,27.26,25.82,10.78,17.97,5.82,80274983,46705.9,High income
