,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
1722,Myanmar,2005,61.6,268.7,33.0,44.7,21.33,22.2,2.33,1.29,0.67,47724471,251.17,280.0
1723,Myanmar,2004,61.25,275.2,33.9,46.5,21.25,22.13,2.32,1.92,0.68,47338446,223.23,230.0
1724,Myanmar,2003,60.98,279.2,34.6,47.0,21.17,22.05,2.38,1.88,0.68,46924293,223.06,190.0
1725,Myanmar,2002,60.72,284.2,35.7,48.4,21.1,21.97,2.58,2.6,0.68,46480230,145.82,170.0
1726,Myanmar,2001,60.42,288.7,36.8,51.0,21.02,21.89,2.15,1.41,0.7,46014826,140.78,190.0
1727,Myanmar,2000,60.16,293.2,37.9,49.3,20.95,21.81,2.0,1.36,0.73,45538332,195.55,190.0
1952,Philippines,2015,71.27,188.0,14.0,14.7,22.84,23.52,3.9,8.14,3.07,103031365,2974.3,3280.0
1953,Philippines,2014,71.15,185.8,14.2,15.5,22.78,23.43,3.7,7.29,3.6,101325201,2935.93,3220.0
1954,Philippines,2013,70.83,190.2,14.4,15.3,22.72,23.35,4.27,6.29,3.5,99700107,2847.57,3060.0
1955,Philippines,2012,70.88,190.5,14.5,15.7,22.67,23.27,4.18,6.06,3.5,98032317,2671.78,2780.0
1956,Philippines,2011,70.79,187.2,14.5,16.3,22.62,23.19,4.03,6.19,3.59,96337913,2431.2,2450.0
1957,Philippines,2010,70.75,187.8,14.7,16.6,22.57,23.12,4.13,7.18,3.6,94636700,2201.78,2310.0
1958,Philippines,2009,70.63,191.0,14.8,16.7,22.52,23.05,4.16,6.64,3.86,92946951,1893.28,2130.0
1959,Philippines,2008,70.56,189.4,14.9,17.2,22.47,22.98,3.86,6.51,3.72,91252326,1990.36,1970.0
1960,Philippines,2007,70.48,189.7,15.0,17.6,22.43,22.92,3.75,6.46,3.43,89561377,1741.6,1680.0
1961,Philippines,2006,70.28,194.1,15.4,18.0,22.38,22.86,3.78,6.63,4.05,87901835,1452.22,1470.0
1962,Philippines,2005,70.24,189.1,15.5,18.3,22.34,22.8,3.74,6.61,3.8,86261250,1245.29,1350.0
1963,Philippines,2004,70.04,187.9,15.9,19.1,22.29,22.74,3.05,5.62,3.55,84607501,1122.86,1260.0
1964,Philippines,2003,69.92,187.3,16.3,19.7,22.25,22.68,3.08,5.46,3.53,82942837,1049.39,1150.0
1965,Philippines,2002,69.78,185.8,16.6,19.9,22.21,22.62,2.64,4.75,3.62,81285572,1037.17,1110.0
1966,Philippines,2001,69.61,184.2,16.6,20.3,22.16,22.56,2.85,5.5,3.7,79626086,991.15,1140.0
1967,Philippines,2000,69.41,178.6,16.8,21.0,22.11,22.49,3.06,6.52,3.77,77958223,1073.26,1150.0
2240,Singapore,2015,82.74,52.85,1.0,1.6,24.35,23.16,4.18,13.54,3.79,5535002,55645.61,53160.0
2241,Singapore,2014,82.5,54.11,0.9,1.6,24.31,23.17,3.87,13.66,3.74,5469724,57564.8,56380.0
2242,Singapore,2013,82.25,54.82,1.0,1.6,24.26,23.18,3.69,13.96,3.86,5399162,56967.43,54470.0
2243,Singapore,2012,82.0,55.94,1.0,1.7,24.21,23.2,3.33,13.21,3.72,5312437,55547.56,51710.0
