,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
108,Bhutan,2003,64.7,155.4,29.2,36.6,22.41,22.87,4.13,7.64,1.8,634627,1027.27,Lower-middel income
269,Brunei Darussalam,2002,74.43,96.88,5.0,7.1,25.38,25.84,2.53,5.11,5.7,347463,16817.24,High income
268,Brunei Darussalam,2003,74.56,95.45,4.9,7.1,25.51,25.94,2.6,6.99,5.78,354045,18521.37,High income
267,Brunei Darussalam,2004,74.65,94.78,5.1,6.9,25.63,26.03,2.55,6.4,5.89,360461,21839.26,High income
266,Brunei Darussalam,2005,74.73,94.46,5.0,6.9,25.76,26.13,2.23,6.43,5.99,366717,25991.21,High income
265,Brunei Darussalam,2006,74.78,95.28,4.8,6.6,25.89,26.23,1.91,5.81,6.08,372808,30767.75,High income
264,Brunei Darussalam,2007,74.82,94.97,4.8,6.3,26.02,26.33,1.94,5.77,6.17,378748,32337.27,High income
263,Brunei Darussalam,2008,74.84,94.27,4.8,6.1,26.16,26.43,1.88,6.21,6.27,384568,37427.54,High income
262,Brunei Darussalam,2009,74.85,92.36,4.8,5.8,26.3,26.53,2.39,6.22,6.4,390311,27497.55,High income
261,Brunei Darussalam,2010,74.85,91.38,4.8,5.8,26.44,26.64,2.28,5.78,6.48,396053,34609.71,High income
260,Brunei Darussalam,2011,74.86,90.69,4.7,5.7,26.58,26.76,1.86,5.74,6.54,401506,46139.11,High income
259,Brunei Darussalam,2012,74.83,91.8,4.7,5.9,26.72,26.87,1.85,5.44,6.62,406634,46844.2,High income
258,Brunei Darussalam,2013,74.8,93.6,4.6,5.8,26.87,26.98,1.9,5.12,6.73,411702,43950.05,High income
257,Brunei Darussalam,2014,74.78,96.04,4.7,5.8,27.02,27.1,1.91,5.2,6.86,416656,41035.78,High income
270,Brunei Darussalam,2001,74.28,98.43,5.0,7.0,25.26,25.75,2.55,5.97,5.61,340748,16437.42,High income
271,Brunei Darussalam,2000,74.08,100.4,5.0,7.1,25.15,25.66,2.55,5.72,5.53,333926,17971.89,High income
256,Brunei Darussalam,2015,74.75,97.91,4.8,5.7,27.17,27.22,2.39,5.86,7.69,421437,30681.43,High income
287,Cambodia,2000,58.62,276.7,35.2,74.0,20.74,20.7,6.54,8.59,0.75,15091594,301.52,Lower-middel income
273,Cambodia,2014,69.74,195.3,17.4,16.1,21.95,22.15,6.7,5.71,0.69,22299585,1098.07,Lower-middel income
274,Cambodia,2013,69.3,198.3,18.1,17.2,21.85,22.03,7.1,6.64,0.44,21632850,1015.22,Lower-middel income
275,Cambodia,2012,68.92,201.9,19.3,18.5,21.75,21.91,7.26,6.49,0.5,21032684,950.48,Lower-middel income
276,Cambodia,2011,68.42,206.9,20.5,20.8,21.66,21.79,7.5,6.21,0.58,20448873,880.31,Lower-middel income
277,Cambodia,2010,67.71,212.7,21.4,22.8,21.56,21.67,6.91,6.52,0.77,19878036,782.7,Lower-middel income
278,Cambodia,2009,67.44,216.5,22.5,26.4,21.47,21.57,7.58,5.97,0.58,19319274,734.82,Lower-middel income
279,Cambodia,2008,66.47,221.9,23.5,28.5,21.39,21.46,6.6,6.66,0.82,18777081,742.4,Lower-middel income
281,Cambodia,2006,65.06,238.4,25.8,33.4,21.22,21.26,6.12,7.41,1.15,17751333,539.75,Lower-middel income
282,Cambodia,2005,64.29,248.2,27.1,36.7,21.13,21.16,6.85,9.9,1.07,17275171,475.07,Lower-middel income
283,Cambodia,2004,63.55,256.7,28.3,41.3,21.05,21.07,7.08,9.9,1.0,16809407,410.09,Lower-middel income
284,Cambodia,2003,62.52,263.1,29.7,47.1,20.97,20.98,6.94,9.43,0.91,16354326,364.28,Lower-middel income
285,Cambodia,2002,61.23,268.9,31.7,54.7,20.89,20.88,7.23,8.3,0.85,15914033,341.04,Lower-middel income
286,Cambodia,2001,59.97,272.9,33.6,64.8,20.82,20.79,7.01,7.83,0.78,15493253,322.9,Lower-middel income
280,Cambodia,2007,65.73,229.9,24.5,30.2,21.3,21.36,4.91,6.75,1.26,18251866,629.92,Lower-middel income
272,Cambodia,2015,69.87,192.8,16.4,15.5,22.05,22.27,6.19,6.63,0.39,23012646,1170.74,Lower-middel income
0,China,2015,76.98,93.05,5.5,5.2,24.13,23.53,4.94,9.42,4.65,47119728,8016.45,Upper-middle income
14,China,2001,72.61,136.4,19.8,14.4,22.57,22.54,4.25,5.59,3.8,39837875,1053.11,Upper-middle income
15,China,2000,71.88,139.0,21.3,15.8,22.5,22.49,4.51,6.09,3.26,39215135,959.36,Upper-middle income
13,China,2002,72.98,135.0,18.3,13.0,22.64,22.59,4.38,6.03,4.24,40454050,1148.51,Upper-middle income
12,China,2003,73.37,133.0,16.9,11.7,22.72,22.65,4.42,6.88,4.58,41057687,1288.64,Upper-middle income
11,China,2004,73.75,131.5,15.4,10.8,22.81,22.72,4.29,7.27,4.49,41648268,1508.67,Upper-middle income
