,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
36,Cuba,2011,77.76,94.36,2.7,3.2,24.96,25.92,11.31,15.09,3.18,1145086,6106.01,5590.0
35,Cuba,2012,77.83,98.59,2.5,3.3,25.05,25.97,9.3,11.49,3.46,1156556,6467.34,6090.0
34,Cuba,2013,77.87,97.98,2.5,3.3,25.13,26.03,10.43,14.14,3.29,1166968,6814.24,6640.0
33,Cuba,2014,77.85,97.26,2.4,3.3,25.21,26.09,12.14,18.02,2.7,1176995,7117.54,6850.0
46,Cuba,2001,76.42,115.3,4.0,3.7,24.14,25.35,6.98,11.39,4.08,964830,2844.24,2760.0
302,Ecuador,2001,73.24,145.6,13.3,14.2,24.99,26.12,3.76,6.21,4.25,12845521,1800.4,1490.0
301,Ecuador,2002,73.61,146.6,12.7,13.3,25.1,26.25,4.48,6.55,4.82,13070609,2069.85,1650.0
300,Ecuador,2003,73.97,139.9,12.0,12.6,25.21,26.37,5.44,8.21,5.66,13301184,2328.0,2010.0
299,Ecuador,2004,74.28,139.1,11.5,12.2,25.32,26.49,5.57,8.46,5.0,13534593,2600.37,2410.0
298,Ecuador,2005,74.51,143.7,11.1,11.4,25.44,26.62,5.6,7.87,3.78,13770012,2925.11,2750.0
297,Ecuador,2006,74.69,139.5,10.7,11.0,25.55,26.74,5.71,8.57,3.55,14009061,3261.51,3000.0
296,Ecuador,2007,74.84,137.0,10.2,10.6,25.67,26.86,5.43,8.83,3.14,14251835,3497.71,3210.0
295,Ecuador,2008,74.98,136.8,9.9,10.1,25.79,26.99,5.47,6.15,3.92,14496797,4217.44,3770.0
294,Ecuador,2009,75.18,133.2,9.5,9.4,25.91,27.12,5.8,7.46,4.61,14742766,4076.23,3970.0
293,Ecuador,2010,75.43,128.8,9.1,9.0,26.03,27.25,6.22,8.44,4.09,14989585,4546.58,4290.0
292,Ecuador,2011,75.74,123.6,8.8,8.5,26.15,27.39,6.58,7.97,3.46,15237728,5183.62,4770.0
291,Ecuador,2012,76.06,119.3,8.5,8.0,26.28,27.52,6.86,8.85,3.24,15483883,5666.22,5320.0
290,Ecuador,2013,76.37,112.4,8.1,7.8,26.4,27.66,6.88,8.86,3.08,15722989,6141.98,5880.0
288,Ecuador,2015,76.79,103.1,7.9,7.1,26.65,27.93,7.61,10.91,3.62,16195902,6002.11,5970.0
289,Ecuador,2014,76.62,107.7,8.1,7.3,26.52,27.8,6.83,9.7,3.48,15957994,6436.76,6190.0
303,Ecuador,2000,72.84,150.0,14.1,14.8,24.88,25.99,3.33,4.14,4.8,12626507,1389.1,1500.0
430,El Salvador,2001,69.6,169.1,13.8,17.9,25.7,26.71,7.89,17.69,6.96,5988095,2051.16,1940.0
429,El Salvador,2002,70.23,157.0,13.0,16.9,25.81,26.85,7.89,17.78,6.2,6011275,2106.74,1990.0
428,El Salvador,2003,70.14,161.2,12.6,15.9,25.91,26.99,7.77,17.4,6.9,6026849,2197.48,2120.0
427,El Salvador,2004,70.34,168.3,11.9,15.0,26.0,27.12,8.13,18.69,6.8,6035655,2273.96,2280.0
426,El Salvador,2005,70.44,170.3,11.4,14.0,26.1,27.24,9.2,18.94,7.22,6037817,2434.32,2430.0
424,El Salvador,2007,71.11,169.9,10.4,12.3,26.27,27.48,8.48,17.98,6.41,6044131,2814.59,2730.0
423,El Salvador,2008,71.42,163.1,10.0,11.5,26.35,27.6,8.5,16.66,5.88,6068099,2964.17,2910.0
425,El Salvador,2006,70.77,173.6,10.8,13.2,26.18,27.36,8.69,19.31,6.57,6034436,2651.43,2600.0
421,El Salvador,2010,71.85,158.8,9.2,10.3,26.51,27.82,8.9,17.09,4.89,6114034,3017.31,2940.0
420,El Salvador,2011,71.86,162.7,8.9,9.8,26.59,27.94,8.88,18.99,4.3,6137349,3304.97,3120.0
419,El Salvador,2012,71.83,148.7,8.6,9.1,26.67,28.05,8.61,16.27,3.84,6161289,3471.05,3280.0
418,El Salvador,2013,71.77,152.3,8.2,8.7,26.75,28.17,9.05,16.72,3.69,6185642,3555.16,3410.0
417,El Salvador,2014,71.75,163.8,7.9,8.3,26.83,28.28,8.6,16.98,4.15,6209526,3638.52,3480.0
416,El Salvador,2015,71.81,187.0,7.7,8.1,26.9,28.39,8.76,17.74,4.0,6231066,3761.51,3520.0
